"Date","Time","User text block 2","User text block 1","User text block 3"
14/07/2018,22:02:43,20-Utilidades 2,T26-AI-0500/HMI,Bloqueado Muito Alto
19/08/2018,04:23:09,70-Processamento de Gás,T79-LSI-3005/HMI,Bloqueado Muito Alto
30/08/2018,07:36:42,70-Processamento de Gás,T79-LSI-3006/HMI,Bloqueado Muito Alto
03/09/2018,21:18:40,70-Processamento de Gás,T79-LSI-3007/HMI,Bloqueado Muito Alto
18/09/2018,15:42:42,70-Processamento de Gás,T71-TSI-2078C/HMI,Suprimido Muito Baixo
19/09/2018,09:42:14,70-Processamento de Gás,T76-LSI-0002/HMI,Bloqueado Muito Baixo
28/09/2018,05:29:31,70-Processamento de Gás,T79-LSI-0101/HMI,Bloqueado Muito Alto
04/11/2018,02:02:54,60-Processamento de Óleo,T62-LSI-0304A/HMI,Bloqueado Muito Baixo
13/12/2018,12:01:18,70-Processamento de Gás,T71-ZSC-2024/HMI,Bloqueado
20/04/2019,09:21:51,70-Processamento de Gás,T71-TSI-2078B/HMI,Bloqueado Muito Baixo
21/06/2019,14:10:36,Marine,LI-5336683CHHH/HMI,Blocked High High
21/06/2019,14:10:42,Marine,LI-5336683C/HMI,Blocked High High
23/06/2019,08:25:43,Marine,LI-5336683C/HMI,Suppressed High High
23/06/2019,08:25:52,Marine,LI-5336683CHHH/HMI,Suppressed High High
28/07/2019,01:32:29,70-Processamento de Gás,T72-FSI-3105/HMI,Bloqueado Muito Baixo
17/08/2019,22:49:51,60-Processamento de Óleo,T61-PDSI-0020/HMI,Bloqueado Muito Alto
18/08/2019,02:35:46,60-Processamento de Óleo,T62-LSI-0102B/HMI,Bloqueado Muito Baixo
18/08/2019,04:28:38,60-Processamento de Óleo,T62-PSI-0201A/HMI,Bloqueado Muito Baixo
18/08/2019,04:28:44,60-Processamento de Óleo,T62-PSI-0101A/HMI,Bloqueado Muito Baixo
22/08/2019,02:39:22,Marine,LI-5336683C/HMI,Suppressed Low Low
22/08/2019,02:39:28,Marine,LI-5336683C/HMI,Blocked Low Low
22/08/2019,02:43:02,Marine,LI-5336683CHHH/HMI,Blocked Low Low
22/08/2019,02:43:12,Marine,LI-5336683CHHH/HMI,Suppressed Low Low
25/08/2019,06:29:06,60-Processamento de Óleo,T62-PSI-0702B/HMI,Bloqueado Muito Alto
01/09/2019,07:26:50,60-Processamento de Óleo,T62-LSI-0304B/HMI,Bloqueado Muito Baixo
01/09/2019,07:27:48,70-Processamento de Gás,T73-PSI-0401B/HMI,Bloqueado Muito Baixa
01/09/2019,07:28:29,60-Processamento de Óleo,T64-PSI-0003A/HMI,Bloqueado Muito Baixa
01/09/2019,07:29:00,70-Processamento de Gás,T71-TSI-2078A/HMI,Bloqueado Muito Baixo
05/09/2019,06:59:40,70-Processamento de Gás,T76-LSI-0001C/HMI,Bloqueado Muito Alto
06/09/2019,21:31:20,60-Processamento de Óleo,T62-TSI-0106B/HMI,Bloqueado Muito Alto
07/09/2019,09:49:51,60-Processamento de Óleo,T62-PSI-1211/HMI,Bloqueado Muito Alto
07/09/2019,19:28:47,20-Utilidades 2,T28-LI-0240/HMI,Suprimido
07/09/2019,22:26:46,60-Processamento de Óleo,T62-FSI-0702B/HMI,Bloqueado Muito Baixo
07/09/2019,22:26:53,60-Processamento de Óleo,T62-FSI-0702B/HMI,Bloqueado Muito Alto
08/09/2019,08:02:51,60-Processamento de Óleo,T62-TSI-0004/HMI,Bloqueado Muito Alto
08/09/2019,08:53:09,30-Fogo e Gás,T53-SO-0522/HMI,Bloqueado
08/09/2019,08:53:11,30-Fogo e Gás,T53-SO-1311/HMI,Bloqueado
08/09/2019,08:53:12,30-Fogo e Gás,T53-SO-0910/HMI,Bloqueado
08/09/2019,08:53:15,30-Fogo e Gás,T53-GIR-0901/HMI,Bloqueado Muito Alto
08/09/2019,08:53:16,30-Fogo e Gás,T53-GIR-1338/HMI,Bloqueado Muito Alto
08/09/2019,08:53:40,30-Fogo e Gás,T53-SO-0609/HMI,Bloqueado
08/09/2019,08:53:41,30-Fogo e Gás,T53-SO-1302/HMI,Bloqueado
08/09/2019,08:53:43,30-Fogo e Gás,T53-SO-1301/HMI,Bloqueado
08/09/2019,08:53:45,30-Fogo e Gás,T53-GIR-1315/HMI,Bloqueado Muito Alto
08/09/2019,08:53:46,30-Fogo e Gás,T53-GIR-1316/HMI,Bloqueado Muito Alto
08/09/2019,08:54:05,30-Fogo e Gás,AST-9125001/HMI,Bloqueado Muito Alto
08/09/2019,08:54:06,30-Fogo e Gás,AST-9125002/HMI,Bloqueado Muito Alto
08/09/2019,08:54:07,30-Fogo e Gás,AST-9125003/HMI,Bloqueado Muito Alto
08/09/2019,09:01:59,60-Processamento de Óleo,T61-PSI-0120/HMI,Bloqueado Muito Baixo
08/09/2019,09:02:06,60-Processamento de Óleo,T61-PSI-0120/HMI,Bloqueado Muito Alto
08/09/2019,09:07:07,60-Processamento de Óleo,T61-PSI-0130/HMI,Bloqueado Muito Alto
08/09/2019,09:07:13,60-Processamento de Óleo,T61-PSI-0130/HMI,Bloqueado Muito Baixo
08/09/2019,09:09:28,60-Processamento de Óleo,T61-PSI-0080/HMI,Bloqueado Muito Alto
08/09/2019,09:09:35,60-Processamento de Óleo,T61-PSI-0080/HMI,Bloqueado Muito Baixo
